WKT,Status,x,y,Block
"POINT (4.50532100632648 34.6584838066137)",Not Start,4.5053210060,34.6584838000,G1
"POINT (4.5053150362063 34.6585565755471)",Not Start,4.5053150360,34.6585565700,G1
"POINT (4.50530906608611 34.6586293444805)",Not Start,4.5053090660,34.6586293400,G1
"POINT (4.5053031867424 34.6587012180035)",Not Start,4.5053031860,34.6587012100,G1
"POINT (4.50529838029787 34.6587605256606)",Not Start,4.5052983800,34.6587605200,G1
"POINT (4.50529442219271 34.6588084910419)",Not Start,4.5052944220,34.6588084900,G1
"POINT (4.5052896157482 34.658867798699)",Not Start,4.5052896150,34.6588677900,G1
"POINT (4.50528363691444 34.6589396621358)",Not Start,4.5052836360,34.6589396600,G1
"POINT (4.50527776628431 34.6590124411555)",Not Start,4.5052777660,34.6590124400,G1
"POINT (4.50527179616413 34.6590852100888)",Not Start,4.5052717960,34.6590852100,G1
"POINT (4.50526591682039 34.6591570836119)",Not Start,4.5052659160,34.6591570800,G1
"POINT (4.50525993798665 34.6592289470487)",Not Start,4.5052599380,34.6592289400,G1
"POINT (4.50525396786646 34.6593017159821)",Not Start,4.5052539670,34.6593017100,G1
"POINT (4.50524809723631 34.6593744950017)",Not Start,4.5052480970,34.6593744900,G1
"POINT (4.50524211840257 34.6594463584385)",Not Start,4.5052421180,34.6594463500,G1
"POINT (4.50523623905886 34.6595182319616)",Not Start,4.5052362390,34.6595182300,G1
"POINT (4.50523143362295 34.6595775296697)",Not Start,4.5052314330,34.6595775200,G1
"POINT (4.50522747450916 34.659625505)",Not Start,4.5052274740,34.6596255000,G1
"POINT (4.50522266907329 34.6596848027081)",Not Start,4.5052226690,34.6596848000,G1
"POINT (4.50521669023952 34.6597566661449)",Not Start,4.5052166900,34.6597566600,G1
"POINT (4.50521081089581 34.6598285396679)",Not Start,4.5052108100,34.6598285300,G1
"POINT (4.505204839767 34.6599013185503)",Not Start,4.5052048390,34.6599013100,G1
"POINT (4.50519896913684 34.65997409757)",Not Start,4.5051989690,34.6599740900,G1
"POINT (4.5051929903031 34.6600459610068)",Not Start,4.5051929900,34.6600459600,G1
"POINT (4.50518711095939 34.6601178345298)",Not Start,4.5051871110,34.6601178300,G1
"POINT (4.50518114083921 34.6601906034632)",Not Start,4.5051811400,34.6601906000,G1
"POINT (4.50517517071903 34.6602633723966)",Not Start,4.5051751700,34.6602633700,G1
"POINT (4.50516929137532 34.6603352459196)",Not Start,4.5051692910,34.6603352400,G1
"POINT (4.50516448593941 34.6603945436277)",Not Start,4.5051644850,34.6603945400,G1
"POINT (4.50516052682562 34.660442518958)",Not Start,4.5051605260,34.6604425100,G1
"POINT (4.50515572138974 34.6605018166662)",Not Start,4.5051557210,34.6605018100,G1
"POINT (4.50514974255598 34.6605736801029)",Not Start,4.5051497420,34.6605736800,G1
"POINT (4.50514387192585 34.6606464591226)",Not Start,4.5051438710,34.6606464500,G1
"POINT (4.50513790079704 34.660719238005)",Not Start,4.5051379000,34.6607192300,G1
"POINT (4.50513192196327 34.6607911014418)",Not Start,4.5051319220,34.6607911000,G1
"POINT (4.50512604261956 34.6608629749648)",Not Start,4.5051260420,34.6608629700,G1
"POINT (4.50512007249938 34.6609357438982)",Not Start,4.5051200720,34.6609357400,G1
"POINT (4.50511420186922 34.6610085229179)",Not Start,4.5051142010,34.6610085200,G1
"POINT (4.50510822303548 34.6610803863546)",Not Start,4.5051082230,34.6610803800,G1
"POINT (4.50510234369177 34.6611522598777)",Not Start,4.5051023430,34.6611522500,G1
"POINT (4.50509753825587 34.6612115575858)",Not Start,4.5050975380,34.6612115500,G1
"POINT (4.50543887196897 34.6579983492034)",Not Start,4.5054388720,34.6579983400,G1
"POINT (4.50543406653306 34.6580576469115)",Not Start,4.5054340660,34.6580576400,G1
"POINT (4.50542818718935 34.6581295204346)",Not Start,4.5054281870,34.6581295200,G1
"POINT (4.50542220835561 34.6582013838713)",Not Start,4.5054222080,34.6582013800,G1
"POINT (4.50541633772546 34.658274162891)",Not Start,4.5054163370,34.6582741600,G1
"POINT (4.50541036760527 34.6583469318244)",Not Start,4.5054103670,34.6583469300,G1
"POINT (4.50540448826156 34.6584188053474)",Not Start,4.5054044880,34.6584188000,G1
"POINT (4.50539850942782 34.6584906687842)",Not Start,4.5053985090,34.6584906600,G1
"POINT (4.50539253829901 34.6585634476666)",Not Start,4.5053925380,34.6585634400,G1
"POINT (4.50538666766886 34.6586362266863)",Not Start,4.5053866670,34.6586362200,G1
"POINT (4.50538068883509 34.658708090123)",Not Start,4.5053806880,34.6587080900,G1
"POINT (4.50537588339921 34.6587673878312)",Not Start,4.5053758830,34.6587673800,G1
"POINT (4.50537192428542 34.6588153631615)",Not Start,4.5053719240,34.6588153600,G1
"POINT (4.50536711884952 34.6588746608696)",Not Start,4.5053671180,34.6588746600,G1
